node1,node2,label
"GALAMA, T","VIEZZER, R",0
"MAREL, RPVD","LAKE, G",0
"SMITH, DA","SHAH, RY",0
"BLANCO, PR","KREYKENBOHM, I",0
"HODGE, PW","CRISP, D",0
"REICHERT, GA","SARZI, M",0
"MANDUSHEV, G","WILLIAMS, TB",0
"SANTANGELO, A","COLLINA, P",0
"ELSTON, R","KIGER, JR",0
"MACCHETTO, F","JACKSON, NJ",0
"FREYBERG, MJ","FIUME, PSDD",0
"MOULD, JR","COUCH, W",0
"GOOBAR, A","KOSHUT, T",0
"SAKANO, M","BRAEUNINGER, H",0
"JIMENEZ, R","NOLAN, L",1
"TONRY, JL","FERRARESE, NKL",0
"BRIGGS, MS","PENDLETON, GN",1
"OHYAMA, Y","NAKAJIMA, T",0
"KLIMENKO, AA","POGOSOV, VS",1
"CARTER, BS","OHSAKI, T",0
"STOCKMAN, HS","ARMUS, L",0
"YOSHIDA, S","SHIKAZE, Y",0
"MATSUOKA, M","OFLAHERTY, KS",0
"GRANDI, P","STATHAKIS, R",0
"DESAI, J","RUIZLAPUENTE, P",0
"CHU, Y","MOFFAT, AFJ",0
"COORAY, AR","JOY, M",1
"JASNIEWICZ, G","LESTEVEN, S",1
"STORRIELOMBARDI, LJ","MAIOLINO, R",0
"ROTTGERING, HJA","BREMER, M",0
"SOMMER, M","LEVINE, AM",0
"HU, E","HALL, P",0
"SHULL, JM","BOWEN, DV",0
"CHARY, R","SILVERSTONE, MD",0
"PELLO, R","CILIEGI, P",0
"WATSON, AM","MADORE, BF",0
"STELLA, L","MORELLI, E",0
"REES, MJ","SACCO, B",0
"BOGAERT, G","LEFEBVRE, A",1
"MACCAGNI, D","DOUSPIS, M",0
"BUTTERWORTH, PS","DENG, M",0
"KAWAKAMI, S","SUZUKI, R",0
"KUBO, H","SAKAKI, N",0
"SAUMON, D","STEPHENS, D",0
"PAIN, R","BREMER, MN",0
"CUSUMANO, G","CORNELISSE, R",0
"SHEMI, A","TORNIKOSKI, M",0
"PAHRE, MA","BURROWS, A",0
"HUCHRA, JP","BORNER, G",0
"SNELLEN, I","PRIDDEY, RS",1
"BERGERON, LE","MARCONI, A",0
"PAOLA, AD","PANZERA, MR",0
"GREBEL, EK","MAJEWSKI, SR",0
"SONNEBORN, G","MOSCOSO, L",0
"TRIPATHY, SC","KUMAR, B",1
"SCHILIZZI, RT","WALTON, N",0
"MOBASHER, B","CILIEGI, P",0
"SEGRETO, A","KLOSE, S",0
"PEDERSEN, H","TAMURA, T",0
"ZHENG, Z","DENG, L",1
"SUTHERLAND, W","SULLIVAN, D",0
"AOKI, K","IWAI, J",0
"ESIN, AA","SHRADER, CR",0
"WINDHORST, R","EFSTATHIOU, A",0
"NORTH, P","OLSON, EC",1
"MORSELLI, A","HARRISON, SRKFA",0
"NAKAMURA, T","SILBERMANN, NA",0
"LEHNER, M","LARKIN, J",0
"YAN, L","MCCARTHY, JK",0
"GHIGO, FD","ALLER, HD",0
"IVISON, RJ","CRAM, L",0
"REISS, D","LONG, KS",0
"GOTTLOBER, S","KIRSHNER, RP",0
"DOPITA, M","MILEY, G",0
"FERGUSON, HC","WELCH, TMCDL",0
"ZENSUS, JA","BOCK, H",1
"OSTRIKER, JP","ORAN, ES",0
"PARADIJS, JV","DEADY, JH",0
"BARR, R","MAGORRIAN, J",0
"PETERSON, BA","BARNES, DG",0
"FILIPPENKO, A","HARTMAN, RC",0
"HARTMANN, DH","FENDER, RP",0
"WILKINSON, PN","SUMNER, T",0
"FEROCI, M","NICASTRO, F",1
"PAREDES, JM","CLARK, JS",0
"KRAVTSOV, AV","BULLOCK, JS",1
"RAYCHAUDHURY, S","TYSON, JA",0
"GONCALVES, DR","PERINOTTO, M",1
"MIRALDAESCUDE, J","HAMILTON, D",0
"REICHART, DE","STECKLUM, B",0
"DESHPANDE, AA","MIGENES, V",0
"SARGENT, WLW","KRISTIAN, J",0
"BANKS, T","SHENKER, SH",1
"LAWRENCE, A","SCHMOLT, I",0
"BEAULIEU, SF","HIRASAWA, H",0
"ZACHARIAS, N","JOHNSTON, KJ",1
"STETSON, PB","STAUFFER, JR",0
"IMPEY, C","KOMMERS, JM",0
"KNOX, L","GRIFFIN, GS",0
"SAHA, A","KUBO, Y",1
"PALMER, D","FERGUSON, D",0
"REID, IN","SATO, H",1
"PICCIONI, A","HARRISON, FA",0
"SCHOU, J","RABELLOSOARES, MC",0
"PELTONIEMI, JT","STANEV, T",0
"FIORE, F","SOMOV, NN",0
"KITAMURA, A","SHIMODAIRA, H",0
"LAMB, ADKRC","MCKERNAN, B",0
"COE, M","BUCKLEY, JH",0
"CUSUMANO, G","BUTLER, RC",1
"OJHA, D","EPCHTEIN, N",1
"PREITEMARTINEZ, A","TAYLOR, BG",0
"LAHAV, O","KEEBLE, O",0
"CREZE, M","KIMESWENGER, S",0
"LANGANKE, K","IWASA, N",0
"FINGER, MH","STOLLBERG, M",1
"BRIGGS, M","PAPADAKIS, I",0
"DIXON, WV","GOMEZ, JF",0
"OUKBIR, J","RAMELLA, M",0
"SAVAGLIO, S","ARAGONSALAMANCA, A",0
"CASSATELLA, A","WAGONER, R",0
"TSUJIMOTO, T","SAKATA, M",0
"NILSSON, K","MONTANARI, E",0
"FISHMAN, GJ","OSCOZ, A",0
"SCOTT, DM","NARANJO, O",0
"SAHU, KC","HUNT, LK",0
"MENDEZ, M","LIPKIN, Y",0
"UEDA, Y","BIONTA, RM",0
"URRY, CM","WILLIAMS, OR",0
"BOND, IA","JUGAKU, J",1
"MALIZIA, A","TAVECCHIO, F",0
"MORRIS, SL","MARLOW, DR",0
"URRY, CM","MAGALHAES, A",1
"MALKAN, MA","PATTERSON, JR",0
"SCHAEFER, B","HOENIG, MD",0
"VREESWIJK, P","FALOMO, R",0
"GROVE, JE","TRUSHKIN, S",0
"LESSARD, R","RODGERS, A",1
"COMBES, F","GREVE, A",0
"LEIBUNDGUT, B","RAIMONDO, G",0
"CHAMBON, B","DUMOULIN, L",1
"CARTER, D","STORRIELOMBARDI, LJ",0
"BASSANI, L","GROOT, PJ",0
"WILLIAMS, OR","DIETERS, S",0
"GRIFFITHS, R","NEUMANN, DM",0
"MACCARONE, MC","SCALTRITI, F",0
"GOYAL, A","TICKOO, AK",1
"FABIAN, AC","ZAND, JIT",0
"DONE, C","DREIZLER, S",0
"IOVINO, A","CASERTANO, S",0
"BOND, IH","BURDETT, AM",1
"TEEGARDEN, BJ","ZHANG, SN",0
"FILIPPENKO, AV","FAZIO, GG",0
"SEITZER, P","SNEDEN, C",0
"BROTHERTON, MS","COSTA, E",0
"MELLO, DFD","JHA, S",0
"MACCAGNI, D","MALKOV, YF",0
"EGAMI, E","FULTON, E",0
"OWEN, BJ","WHITCOMB, S",1
"IWAMOTO, K","RI, GP",0
"SAKAI, S","SEBO, K",1
"SACCO, B","MAGALHAES, A",0
"REFSDAL, S","MAGAIN, P",1
"ROUAN, D","WAGNER, S",1
"MATSUMOTO, H","III, REW",0
"HILLAS, AM","TERAESRANTA, H",0
"JAHODA, K","BENNETT, K",0
"VANDEHEI, T","GIOVANNINI, O",0
"SUSUKITA, R","MAGEE, DK",0
"REIMANN, J","HONDA, M",0
"LEIBUNDGUT, B","URRY, CM",0
"GRAHAM, JR","SOIFER, BT",0
"MORARU, D","DAVIES, JK",0
"RIX, H","HARMER, D",0
"PRATT, MR","WINGET, DE",0
"TAKAHASHI, T","EBIZUKA, N",0
"GROOT, P","BLACKER, BS",0
"HOOK, RN","TREU, T",0
"ROSE, J","MARSHALL, F",1
"YADAV, RKS","WOODS, PM",0
"PETERSON, BA","YOSHII, H",0
"KAWASAKI, Y","BUDDING, E",0
"BROTHERTON, MS","MORGAN, ND",0
"HEIDT, J","NISHIJIMA, K",0
"LEE, JC","PETERS, J",0
"LUGINBUHL, C","HONEYCUTT, K",0
"DANZIGER, IJ","JONES, DH",0
"SANTANGELO, A","VALLAZZA, E",0
"REFREGIER, A","BAHCALL, J",0
"MATTHEWS, K","TEPLITZ, HI",0
"FRENK, CS","VANDEDEI, T",0
"EFSTATHIOU, G","CHARBONNEAU, D",0
"NOMOTO, K","DOTANI, T",0
"CAMILO, F","VERBUNT, F",0
"FALOMO, R","BLOOM, J",0
"MELLIER, Y","JOHNSTONE, RM",0
"TSURU, T","FURUSHO, T",0
"GAL, RR","CUNNINGHAM, SJ",0
"TEEGARDEN, BJ","HONEYCUTT, K",0
"WHITE, SDM","LUCAS, RA",0
"EBISAWA, K","KIKUCHI, K",0
"RENGELINK, RB","WERF, PPVD",0
"RUPEN, MP","GROOT, PJ",0
"CHIAPPETTI, L","ROCHESTER, G",0
"MITTAZ, JPD","RONEN, S",0
"VOGES, W","BLAIN, A",0
"LORENZETTI, D","CESARONI, R",0
"HARWIT, M","LAMARRE, JM",0
"STERN, D","EKERS, R",0
"GHISELLINI, G","BRAUNINGER, W",0
"IRWIN, MJ","MILEY, GK",0
"TURNSHEK, DA","CHURCHILL, CW",0
"BLOEMEN, H","GISLER, G",0
"CORSI, CE","WHITNEY, JH",0
"MANTEGAZZA, L","HANDLER, G",0
"ZYLBERAJCH, S","FELDMAN, P",0
"SERJEANT, S","PEREZ, AM",0
"ROWELL, GP","KRISTEN, H",0
"MOLENDI, S","GAGNE, M",0
"FAVATA, F","MACCHETTO, D",0
"BARING, MG","ESPIGAT, P",0
"PARISE, RA","SANDOVAL, JL",0
"COHEN, J","ROTTGERING, HJA",0
"BORGNE, JFL","REFREGIER, A",0
"SADLER, EM","THIELEMANN, FMF",0
"GONZALEZ, RA","LAROS, J",0
"PRIEDHORSKY, W","ABAD, C",0
"TAMURA, S","MITSCH, W",1
"JORISSEN, A","DELFOSSE, X",0
"OFFENBERG, JD","FERRERASE, L",0
"DAVIS, M","LIU, MC",0
"BLOOM, JS","BARNES, DG",0
"ROBERTS, MD","BUDINI, G",0
"IMPEY, CD","GORJIAN, V",0
"HOOK, R","TIPHENE, D",0
"CHURCH, S","GAERTNER, S",0
"ELVIS, M","MAKISHIMA, K",0
"COLOMBO, E","FINDLEY, J",0
"FLEURY, P","IACOUCCI, L",1
"GOTTLOBER, S","GNEDIN, N",0
"CESARSKY, CJ","DMELLOW, K",0
"GILMORE, G","LAMB, DQ",1
"MCHARDY, IM","OLIVER, SJ",0
"MORGAN, EH","ALLEN, GE",0
"HJORTH, J","RAITERI, CM",0
"WEGNER, G","MCCARTHY, PJ",0
"MAZURE, A","BURKE, DJ",0
"TEAM, TUS","MARCUM, PM",0
"KONOPELKO, A","CLINE, T",0
"HANLON, LO","SAZONOV, S",0
"CRAWFORD, CS","MATUZAWA, H",0
"SCHEUER, PAG","LAING, RA",1
"FIUME, DD","SAHU, K",0
"SHANKS, T","RUIZLAPUENTE, P",0
"KOLLGAARD, RI","VILLATA, M",0
"TAYLOR, AN","MEISENHEIMER, K",1
"NISHIJIMA, K","OSCOZ, A",0
"RICCI, B","RAIMONDO, G",0
"MATTHEWS, K","KLIS, MVD",0
"INOUE, H","DABROWSKI, Y",0
"BOHRINGER, H","MCHARDY, I",0
"TANIMORI, T","VALLAZZA, E",0
"HARTMANN, DH","KOLACZYK, ED",1
"YOSHII, Y","BOEHNHARDT, H",0
"KIRSHNER, RP","MACCHETTO, FD",0
"MATSUOKA, Y","MESSENGER, B",0
"DENNEFELD, M","MARCONI, A",0
"MAZZEI, P","PUGET, J",0
"PESCE, JE","UEDA, Y",0
"FREUDLING, W","VANZI, L",0
"NOYES, RW","SCHOU, J",0
"CARTER, BS","BLACKER, BS",0
"GREGG, M","KAWAKAMI, S",0
"DEY, A","FREEDMAN, WL",0
"HOGAN, C","WANG, Z",0
"KRAFT, RP","LIRA, P",0
"GRANATO, L","ROCCAVOLMERANGE, B",0
"GALLAGHER, JS","WILLMARTH, DW",0
"M, L","COUTURES, C",0
"STUBBS, C","AXELROD, T",1
"CASSE, M","FERNANDEZ, J",0
"BOETTCHER, M","MAKINO, F",0
"BAILES, M","JAHODA, K",0
"PIAN, E","COORAY, AR",0
"MADEJSKI, G","CAPETTI, A",0
"KUBODERA, K","BERTULANI, CA",0
"KERKWIJK, MHV","BAYKAL, A",0
"COLOMBO, E","LESSARD, WCRW",0
"HAARDT, F","SCHOENFELDER, V",0
"KENNICUTT, RC","GRILLMAIR, C",0
"KOERNER, DW","HENDERSON, CP",0
"FAN, X","CLAUSSEN, M",0
"PERLMUTTER, S","ARAGONSALAMANCA, A",0
"MATSUMOTO, K","JENSEN, LT",1
"ZINNECKER, H","ROESER, S",0
"MURAKAMI, T","MARSDEN, D",0
"THIELEMANN, FK","SMITH, VV",0
"WERNER, K","KRAEMER, G",1
"LEBRUN, F","VIKHLININ, AA",0
"HAARDT, F","BRUCA, L",0
"P, RH","J, JK",1
"FONTANA, A","HAARDT, F",0
"CAROLLO, CM","DEHARVENG, JM",0
"BOYLE, B","FIORE, F",0
"GIOMMI, P","HESSMAN, FV",0
"PIER, JR","HENDEN, AA",0
"BARTH, A","THOMPSON, R",0
"CLINE, TL","WILLIAMS, GG",1
"LEE, B","STRATTA, G",0
"NOMOTO, K","WOUDT, P",0
"SOIFER, BT","HARTWICK, FDA",0
"NEWBERG, HJM","GREGG, MD",0
"KURAMOCHI, K","KAKIMOTO, F",0
"CLOWES, R","ROWANROBINSON, M",0
"HAEHNELT, MG","HAEHNELT, M",0
"MCNAMARA, BR","CHUSS, D",0
"MAZZALI, PA","CHAFFEE, F",0
"MADDEN, SC","OTT, S",0
"EISENHAUER, F","STURM, E",0
"PREGER, B","COCCO, V",0
"BOEHNHARDT, H","HULLEMAN, F",0
"MOUCHET, M","PAPADAKIS, I",0
"MANDUSHEV, G","WOOD, MA",1
"BREUGEL, WV","WEI, JY",0
"PEACOCK, J","HARWIT, M",0
"SAMUELSON, F","GILLANDERS, GH",0
"MO, HJ","OSTRIKER, JP",0
"KNAPP, J","TOSTI, G",0
"COSTA, E","CHEVALIER, R",0
"BOEHNHARDT, H","ESPINOSA, JMR",0
"ZAND, JI","HARRISON, SRKFA",0
"GOGUS, E","SNYDER, JA",0
"SONNEBORN, G","SHORE, SN",0
"KOUVELIOTOU, C","CRENSHAW, DM",0
"FERGUSON, HC","NOMOTO, K",0
"ERACLEOUS, M","COSTA, E",0
"WASSERMAN, LH","ALTENA, WV",1
"EBELING, H","MACCAGNI, D",0
"DOKKUM, PGV","SAKURAZAWA, K",0
"FRAIL, DA","DORMAN, B",0
"OTT, L","ROMERO, L",0
"MALIZIA, A","KLIS, MVD",0
"ZHANG, SN","PARKER, E",0
"METZLER, CA","PEARCE, FR",0
"KELSON, D","VAILE, RA",0
"BROWN, TM","DEMELLO, DF",0
"HORNE, K","WATASE, Y",0
"DONE, C","FRONTERA, F",0
"CRONIN, JW","SWORDY, SP",0
"MADDOX, SJ","WINDHORST, RA",0
"BARMBY, P","HUGHES, SM",0
"MCCARTHY, PJ","VAUGHAN, S",0
"BENNETT, CL","LUBIN, AJBP",0
"SMITS, DP","WU, K",1
"ZHANG, SN","TEPLITZ, HI",0
"TANVIR, N","RONEN, S",0
"OLIVEIRA, CMD","UNIVERSITATSSTERNWARTE, BZZ",0
"BECKER, RH","MORAN, EC",0
"SUNYAEV, R","BURENIN, RA",0
"GILMORE, G","JOHNSON, RA",1
"COSTA, E","TURNER, A",0
"DUNLOP, J","LUTZ, D",1
"KOUVELIOTOU, C","THOMSON, S",0
